Latitude,Longitude,ndvi,ndwi,hsi,data,colecao,MHTEMPMAX(media-harmonica-temperatura-maxima(C)),MHTEMPMIN(media-harmonica-temperatura-minima(C)),SUMCHUVA(soma-chuva(mm)),MHEVAPOTRANSPIRACAO(media-harmonica-soma-evapotranspiracao(mm))
-8.4294,-24168,0.297097027301788,-0.39073970913887,0.687836766242981,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.370464324951172,25.219154357910156,248.8000030517578,4.561072826385498
-7.5903,-26076,0.28093421459198,-0.359146684408188,0.64008092880249,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.717493057250977,25.453481674194336,191.40000915527344,4.496507167816162
-7.1811,-34797,0.185354962944984,-0.204132661223412,0.389487624168396,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,27.11017417907715,23.34749412536621,464.6000671386719,3.193852663040161
-7.1913,-40245,0.251172989606857,-0.304699838161469,0.555872797966003,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,28.58620262145996,19.455650329589844,52.400001525878906,4.543211460113525
-6.9954,-28701,0.195441350340843,-0.228596478700638,0.42403781414032,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.84139633178711,25.49040985107422,358.3999938964844,4.414924621582031
-7.6059,-38658,0.213910207152367,-0.24671183526516,0.460622042417526,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,28.74483871459961,19.397159576416016,68.0999984741211,4.270244598388672
-8.7819,-24597,0.28251975774765,-0.367569178342819,0.650088906288147,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.355173110961914,25.16679573059082,271.9000244140625,4.566436767578125
-8.7042,-27387,0.282506853342056,-0.368227183818817,0.650734066963196,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.559328079223633,25.3729305267334,179.09999084472656,4.582148551940918
-8.0844,-42486,0.279061734676361,-0.354734241962433,0.633795976638794,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,32.296871185302734,22.915679931640625,31.200002670288086,5.566396236419678
-8.0862,-25266,0.278225392103195,-0.356583029031754,0.634808421134949,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.577604293823242,25.366729736328125,278.8999938964844,4.545894145965576
-7.0005,-30864,0.305805742740631,-0.406141489744186,0.711947202682495,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.807979583740234,25.482561111450195,484.1999816894531,4.251794338226318
-6.7527,-33732,0.0890417248010635,-0.0864048972725868,0.175446629524231,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.90657615661621,25.384742736816406,524.10009765625,4.121325492858887
-6.9786,-21828,0.015192355029285,-0.0080899158492684,0.0232822708785534,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.496078491210938,25.466894149780273,243.90000915527344,4.59934663772583
-8.0349,-39624,0.23623226583004,-0.30358949303627,0.539821743965149,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,29.23635482788086,20.29248809814453,56.30000305175781,4.338611125946045
-8.2542,-42798,0.266443848609924,-0.337099134922028,0.603542983531952,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,31.956239700317383,22.759395599365234,28.60000228881836,5.469334602355957
-7668,-23349,0.297878742218018,-0.390925258398056,0.688804030418396,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.483436584472656,25.383712768554688,234.6999969482422,4.664209365844727
-6.8358,-31743,0.296770244836807,-0.384344398975372,0.681114673614502,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.842533111572266,25.493810653686523,421.20001220703125,4.156905174255371
-7.2639,-29691,0.288568615913391,-0.374110758304596,0.662679374217987,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.782657623291016,25.448326110839844,321.8999938964844,4.317111968994141
-8565,-33333,0.294051110744476,-0.388420909643173,0.682471990585327,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.776376724243164,25.476696014404297,287.1999816894531,4.430812835693359
-6.9996,-39261,0.296883076429367,-0.382414013147354,0.679297089576721,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,29.39931297302246,20.32545280456543,80.80000305175781,4.576655864715576
-8.0256,-31338,0.285943806171417,-0.363678127527237,0.649621963500977,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.778024673461914,25.433185577392578,285.5,4.317779064178467
-8.1276,-36372,0.185229122638702,-0.199490785598755,0.384719908237457,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.55672836303711,18.95223045349121,108.10000610351562,3.221090316772461
-7.9557,-42141,0.230815812945366,-0.296784102916718,0.527599930763245,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,31.928543090820312,22.580928802490234,32.19999694824219,5.526026725769043
-7.4247,-36405,0.0208840928971767,-0.0120354602113366,0.0329195521771908,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,28.221710205078125,19.65913963317871,135.10000610351562,3.6526927947998047
-7.6743,-35733,0.19169320166111,-0.266846716403961,0.45853990316391,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.687746047973633,20.149877548217773,203.6999969482422,3.0443341732025146
-8.5968,-27591,0.269486099481583,-0.347886443138123,0.617372512817383,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.610855102539062,25.392765045166016,254.09999084472656,4.552298069000244
