x,y,ndvi,ndwi,hsi,data,colecao,temp_max,temp_min,chuva,evapo,condicao
-8.4294,-24168,0.297097027301788,-0.39073970913887,0.687836766242981,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.3704643249512,25.2191543579102,248.800003051758,4.5610728263855,normal
-7.5903,-26076,0.28093421459198,-0.359146684408188,0.64008092880249,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.717493057251,25.4534816741943,191.400009155273,4.49650716781616,normal
-7.1811,-34797,0.185354962944984,-0.204132661223412,0.389487624168396,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,27.1101741790771,23.3474941253662,464.600067138672,3.19385266304016,normal
-7.1913,-40245,0.251172989606857,-0.304699838161469,0.555872797966003,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,28.58620262146,19.4556503295898,52.4000015258789,4.54321146011353,normal
-6.9954,-28701,0.195441350340843,-0.228596478700638,0.42403781414032,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.8413963317871,25.4904098510742,358.399993896484,4.41492462158203,normal
-7.6059,-38658,0.213910207152367,-0.24671183526516,0.460622042417526,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,28.7448387145996,19.397159576416,68.0999984741211,4.27024459838867,normal
-8.7819,-24597,0.28251975774765,-0.367569178342819,0.650088906288147,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.3551731109619,25.1667957305908,271.900024414062,4.56643676757812,normal
-8.7042,-27387,0.282506853342056,-0.368227183818817,0.650734066963196,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.5593280792236,25.3729305267334,179.099990844727,4.58214855194092,normal
-8.0844,-42486,0.279061734676361,-0.354734241962433,0.633795976638794,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,32.2968711853027,22.9156799316406,31.2000026702881,5.56639623641968,normal
-8.0862,-25266,0.278225392103195,-0.356583029031754,0.634808421134949,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.5776042938232,25.3667297363281,278.899993896484,4.54589414596558,normal
-7.0005,-30864,0.305805742740631,-0.406141489744186,0.711947202682495,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.8079795837402,25.4825611114502,484.199981689453,4.25179433822632,normal
-6.7527,-33732,0.0890417248010635,-0.0864048972725868,0.175446629524231,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.9065761566162,25.3847427368164,524.10009765625,4.12132549285889,normal
-6.9786,-21828,0.015192355029285,-0.0080899158492684,0.0232822708785534,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.4960784912109,25.4668941497803,243.900009155273,4.59934663772583,normal
-8.0349,-39624,0.23623226583004,-0.30358949303627,0.539821743965149,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,29.2363548278809,20.2924880981445,56.3000030517578,4.33861112594604,normal
-8.2542,-42798,0.266443848609924,-0.337099134922028,0.603542983531952,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,31.9562397003174,22.7593955993652,28.6000022888184,5.46933460235596,normal
-7668,-23349,0.297878742218018,-0.390925258398056,0.688804030418396,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.4834365844727,25.3837127685547,234.699996948242,4.66420936584473,normal
-6.8358,-31743,0.296770244836807,-0.384344398975372,0.681114673614502,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.8425331115723,25.4938106536865,421.200012207031,4.15690517425537,normal
-7.2639,-29691,0.288568615913391,-0.374110758304596,0.662679374217987,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.782657623291,25.4483261108398,321.899993896484,4.31711196899414,normal
-8565,-33333,0.294051110744476,-0.388420909643173,0.682471990585327,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.7763767242432,25.4766960144043,287.199981689453,4.43081283569336,normal
-6.9996,-39261,0.296883076429367,-0.382414013147354,0.679297089576721,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,29.3993129730225,20.3254528045654,80.8000030517578,4.57665586471558,normal
-8.0256,-31338,0.285943806171417,-0.363678127527237,0.649621963500977,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.7780246734619,25.4331855773926,285.5,4.31777906417847,normal
-8.1276,-36372,0.185229122638702,-0.199490785598755,0.384719908237457,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.5567283630371,18.9522304534912,108.100006103516,3.22109031677246,normal
-7.9557,-42141,0.230815812945366,-0.296784102916718,0.527599930763245,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,31.9285430908203,22.5809288024902,32.1999969482422,5.52602672576904,normal
-7.4247,-36405,0.0208840928971767,-0.0120354602113366,0.0329195521771908,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,28.2217102050781,19.6591396331787,135.100006103516,3.6526927947998,normal
-7.6743,-35733,0.19169320166111,-0.266846716403961,0.45853990316391,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.6877460479736,20.1498775482178,203.699996948242,3.04433417320251,normal
-8.5968,-27591,0.269486099481583,-0.347886443138123,0.617372512817383,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.6108551025391,25.392765045166,254.099990844727,4.55229806900024,normal
-8.4423,-28749,0.285376608371735,-0.373458802700043,0.658835411071777,2014-08-23,LC08_L2SP_231062_20140823_20200911_02_T1,26.6413135528564,25.4067440032959,202.999984741211,4.47562456130981,normal
