"Latitude","Longitude","NDWI","NDVI","HSI","DATA","COLECAO"
-366930,701790,-0.38271352648735,0.296600192785263,0.679313719272614,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-333300,694110,-0.355955094099045,0.278916209936142,0.634871304035187,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-271140,876870,-0.361078500747681,0.281596273183823,0.642674803733826,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-406860,838980,-0.368261456489563,0.287208825349808,0.655470252037048,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-365850,770160,-0.395520657300949,0.30013832449913,0.695658981800079,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-282480,831360,-0.388535469770432,0.297775387763977,0.686310887336731,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-345210,716970,-0.240783840417862,0.181138813495636,0.421922653913498,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-354420,785670,-0.384934812784195,0.295345067977905,0.680279850959778,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-363300,724770,-0.387774527072906,0.297182738780975,0.684957265853882,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-204900,869250,-0.380781233310699,0.295294940471649,0.676076173782349,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-210870,686760,-0.367350548505783,0.286297202110291,0.653647780418396,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-206490,724620,-0.392517477273941,0.301223158836365,0.693740606307983,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-428880,701970,-0.366793721914291,0.286127477884293,0.652921199798584,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-350820,777960,-0.358599752187729,0.282983660697937,0.641583442687988,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-339810,793260,-0.366646766662598,0.286474138498306,0.653120875358582,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-407040,724830,-0.377485722303391,0.291840314865112,0.669326066970825,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-351060,701760,-0.357771664857864,0.280953377485275,0.63872504234314,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-261570,686760,-0.367350548505783,0.286297202110291,0.653647780418396,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-315120,831330,-0.381120443344116,0.295177131891251,0.676297545433044,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-386910,762870,-0.36306956410408,0.283559858798981,0.646629452705383,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-321240,709350,-0.29346838593483,0.216868728399277,0.510337114334106,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-217500,846270,-0.367700695991516,0.285990029573441,0.653690695762634,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-347820,816030,-0.34443387389183,0.273939788341522,0.61837363243103,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-430470,816120,-0.388227254152298,0.297945022583008,0.686172246932983,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-283620,846570,-0.376060903072357,0.29095384478569,0.667014718055725,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-216690,709470,-0.363834410905838,0.285340189933777,0.649174571037292,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-240210,793200,-0.362320899963379,0.28393965959549,0.646260559558868,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
-326460,869490,-0.351695209741592,0.278697997331619,0.630393207073212,"2023/10/12","LC09_L2SP_231062_20231011_20231012_02_T1"
