Latitude,Longitude,NDWI,NDVI,HSI,DATA,COLECAO,MHTEMPMAX(media-harmonica-temperatura-maxima(C)),MHTEMPMIN(media-harmonica-temperatura-minima(C)),SUMCHUVA(soma-chuva(mm)),MHPRECIPITACAO(media-harmonica-soma-precipitacao(mm)),MHEVAPOTRANSPIRACAO(media-harmonica-soma-evapotranspiracao(mm))
-3.41520,-86.95500,-0.366534143686295,0.285907506942749,0.652441620826721,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.41470,-73.23900,-0.401210218667984,0.304801911115646,0.70601212978363,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-4.06470,-83.11500,-0.370960652828217,0.291637867689133,0.662598490715027,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-4.17510,-83.11200,-0.383025974035263,0.29522117972374,0.678247153759003,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.87270,-86.94900,-0.351695209741592,0.278697997331619,0.630393207073212,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.21910,-85.41900,-0.366954445838928,0.287445455789566,0.654399871826172,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.25380,-81.60600,-0.377050310373306,0.291991949081421,0.669042229652405,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-4.23630,-68.67000,-0.367407828569412,0.286274611949921,0.653682470321655,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-4.03950,-70.18200,-0.369735449552536,0.286980599164963,0.656716048717499,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.34350,-83.14800,-0.367622375488281,0.287083894014359,0.654706239700317,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.76560,-69.42300,-0.356377720832825,0.281368523836136,0.637746214866638,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-4.09500,-72.47400,-0.35891729593277,0.282506465911865,0.641423761844635,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.91110,-86.19000,-0.373103946447372,0.291098266839981,0.664202213287354,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.69240,-70.20000,-0.373499900102615,0.288999021053314,0.662498950958252,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.85500,-83.90700,-0.37371090054512,0.289519935846329,0.663230836391449,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.76410,-72.47700,-0.387774527072906,0.297182738780975,0.684957265853882,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.25770,-80.07600,-0.392761170864105,0.300223916769028,0.692985057830811,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.57250,-86.18700,-0.389111816883087,0.298964858055115,0.688076674938202,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.27640,-77.05500,-0.360567033290863,0.28436154127121,0.644928574562073,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-4.27110,-80.10000,-0.36399519443512,0.285049855709076,0.649045050144196,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.85690,-73.98300,-0.395387977361679,0.300530761480331,0.69591873884201,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.96030,-85.38900,-0.374923765659332,0.290309071540833,0.665232837200165,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.33540,-87.69600,-0.375552475452423,0.291344523429871,0.666896998882294,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.45310,-66.38100,-0.372437924146652,0.28971916437149,0.66215705871582,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.72510,-80.86200,-0.366388082504272,0.286698192358017,0.653086304664612,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.77190,-65.60100,-0.130549639463425,0.0927112400531769,0.223260879516602,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.58090,-77.78100,-0.176336005330086,0.120056852698326,0.296392858028412,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.45130,-67.88700,-0.199442535638809,0.143763348460197,0.343205869197845,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.58260,-77.80200,-0.375676691532135,0.292736113071442,0.668412804603577,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.73510,-80.07900,-0.341504573822021,0.270899444818497,0.612403988838196,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.57000,-66.36300,-0.15722943842411,0.115853659808636,0.273083090782166,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.90570,-75.51000,-0.377213448286057,0.291114330291748,0.668327808380127,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-3.62730,-82.34700,-0.0395156145095825,0.0219701621681452,0.0614857748150826,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.46240,-86.15400,-0.0093087302520871,-0.0004911591531708,0.0088175712153315,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.52630,-77.81400,-0.385086417198181,0.296124368906021,0.68121075630188,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
-2.72130,-85.41300,-0.358902931213379,0.281220436096191,0.64012336730957,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,,,,,
