Latitude,Longitude,NDWI,NDVI,HSI,DATA,COLECAO,MHTEMPMAX(media-harmonica-temperatura-maxima(C)),MHTEMPMIN(media-harmonica-temperatura-minima(C)),SUMCHUVA(soma-chuva(mm)),SUMPRECIPITACAO(soma-precipitacao(mm)),MHEVAPOTRANSPIRACAO(media-harmonica-soma-evapotranspiracao(mm))
-2.2191,-85419,-0.366954445838928,0.287445455789566,0.654399871826172,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.16042137145996,23.36025047302246,13.80000114440918,13.80000114440918,4.038962364196777
-3.2538,-81606,-0.377050310373306,0.291991949081421,0.669042229652405,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.610809326171875,21.919387817382812,1.7000000476837158,1.7000000476837158,3.716621160507202
-4.2363,-68.67,-0.367407828569412,0.286274611949921,0.653682470321655,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.170188903808594,22.956398010253906,757.9000244140625,746.7000122070312,3.9284133911132812
-4.0395,-70182,-0.369735449552536,0.286980599164963,0.656716048717499,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.6258602142334,24.073123931884766,850.4000244140625,839.300048828125,3.8360724449157715
-3.3435,-83148,-0.367622375488281,0.287083894014359,0.654706239700317,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,22.724159240722656,21.940397262573242,2.9000000953674316,2.8999998569488525,3.681330442428589
-3.7656,-69423,-0.356377720832825,0.281368523836136,0.637746214866638,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.797557830810547,24.23015594482422,748.699951171875,745.0,3.8933887481689453
-4095,-72474,-0.35891729593277,0.282506465911865,0.641423761844635,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,32.20306396484375,23.193344116210938,741.5,735.9000244140625,3.9613091945648193
-3.9111,-86.19,-0.373103946447372,0.291098266839981,0.664202213287354,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.103755950927734,23.258485794067383,15.300000190734863,15.300000190734863,4.169267177581787
-3.6924,-70.2,-0.373499900102615,0.288999021053314,0.662498950958252,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.493209838867188,22.992938995361328,892.2999267578125,883.0,3.8636841773986816
-3855,-83907,-0.37371090054512,0.289519935846329,0.663230836391449,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,23.115079879760742,22.38650131225586,2.9000000953674316,2.9000000953674316,3.8306503295898438
-3.7641,-72477,-0.387774527072906,0.297182738780975,0.684957265853882,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.8835391998291,23.350635528564453,810.4000244140625,808.0,3.9680569171905518
-3.2577,-80076,-0.392761170864105,0.300223916769028,0.692985057830811,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,27.694278717041016,23.175073623657227,70.69999694824219,70.60000610351562,3.8203556537628174
-2.5725,-86187,-0.389111816883087,0.298964858055115,0.688076674938202,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,24.315025329589844,23.48586654663086,14.90000057220459,14.90000057220459,4.1220927238464355
-2.2764,-77055,-0.360567033290863,0.28436154127121,0.644928574562073,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,30.300642013549805,22.047765731811523,1018.0,1015.5999755859375,3.596076011657715
-4.2711,-80.1,-0.36399519443512,0.285049855709076,0.649045050144196,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.706674575805664,17.724580764770508,113.0,112.60000610351562,4.537381172180176
-2.8569,-73983,-0.395387977361679,0.300530761480331,0.69591873884201,2023/10/12,LC09_L2SP_231062_20231011_20231012_02_T1,31.662031173706055,23.22264862060547,867.2000732421875,865.2000732421875,3.983487844467163
