"","20241012_ndwi","20241112_ndwi","20241012_hsi","20241112_hsi","20241012_ndvi","20241112_ndvi","x","y"
"ndwi_pred.coord_18",-0.301146009777708,-0.299118978402423,0.405181480268659,0.402075471054398,0.108269667531904,0.108382750756707,726390,-296910
"ndwi_pred.coord_19",-0.313637313026662,-0.312021707345004,0.404090479229381,0.405245595998144,0.100666675888177,0.090755458940375,856500,-333330
"ndwi_pred.coord_20",-0.29703247477489,-0.297793498464233,0.381931142058992,0.379369551341846,0.0844657366323239,0.0853204513963948,699960,-392610
"ndwi_pred.coord_21",-0.282292598217133,-0.281461898249299,0.377145355560591,0.37785562418644,0.0925106048023097,0.0909567882559851,802560,-313380
"ndwi_pred.coord_22",-0.238308832636276,-0.241813770345732,0.319823811341852,0.314947792690518,0.0844537954222868,0.0788813976120972,812760,-363720
"ndwi_pred.coord_23",-0.263013499937952,-0.262955329427435,0.370181769324304,0.367452914639003,0.114371352951334,0.108269492424298,795570,-421410
"ndwi_pred.coord_24",-0.102940265326055,-0.105720530535847,0.175012322450229,0.175712172944019,0.0729142261078998,0.0776158220553359,742470,-364050
"ndwi_pred.coord_25",-0.235232792727038,-0.234739943351746,0.326536132289801,0.323466095531309,0.092019745966376,0.0869820241316574,767430,-357330
"ndwi_pred.coord_26",-0.250725671255104,-0.25074151711344,0.308990235658623,0.322882465159813,0.0708625934169129,0.0678765256379437,859680,-275910
"ndwi_pred.coord_27",-0.28773130304522,-0.287630973914366,0.381905289347427,0.378325607386536,0.0832886342507234,0.0846312609343403,844230,-287490
"ndwi_pred.coord_28",-0.281330905144088,-0.28092327965194,0.365520911290558,0.367183881791058,0.0817985904216757,0.0793047621300116,820140,-306960
"ndwi_pred.coord_29",-0.297677295786225,-0.297996827673079,0.379036769107879,0.383178396126966,0.0869438304048583,0.0888265993332707,849990,-264210
"ndwi_pred.coord_30",-0.309911948783621,-0.309732730417098,0.420926908430775,0.420410966271629,0.112281621845416,0.105780434934134,769710,-242640
"ndwi_pred.coord_31",-0.297779018902865,-0.296646544778807,0.390839805196633,0.390664473951014,0.0963249497689904,0.0982160290563864,710100,-327210
"ndwi_pred.coord_32",-0.304390282212674,-0.30451587614123,0.410811178500343,0.41012565645157,0.103472713910104,0.0997580058550213,835290,-256710
"ndwi_pred.coord_33",-0.311293257002581,-0.310761524727399,0.568451902779762,0.569670760557085,0.258968665811913,0.25833383521523,842340,-417240
"ndwi_pred.coord_34",-0.30245288500344,-0.299340805525484,0.410537858593471,0.400181797328517,0.101316255963556,0.102432700718442,723690,-333030
"ndwi_pred.coord_35",-0.272284040130687,-0.272323143996136,0.406120587291134,0.395891748753278,0.127167445008591,0.128363840359851,775290,-345960
"ndwi_pred.coord_36",-0.203772563890313,-0.200930686690337,0.236718959619214,0.226547210827274,0.0335032846319237,0.0274866462629419,831330,-383460
"ndwi_pred.coord_37",-0.293542841607061,-0.292292402932418,0.372215049116537,0.384651730434766,0.0929458765981785,0.0908781326118751,804030,-278820
"ndwi_pred.coord_38",-0.279640620898328,-0.283878002516812,0.365507640546949,0.359454343885222,0.0821171406592228,0.0705628071914489,835650,-244920
"ndwi_pred.coord_39",-0.308293968469257,-0.307939944435083,0.398505786174924,0.392523284514003,0.0833413840937318,0.0814474143093891,835950,-251850
"ndwi_pred.coord_40",-0.296650547561264,-0.294195651550727,0.401077096094816,0.392922154229513,0.102960238680782,0.105690928798503,695790,-338880
"ndwi_pred.coord_41",0.0298844154778814,0.0320523021443905,-0.0670123435544554,-0.063922290892717,-0.0376522675856518,-0.0368847195104753,809970,-370440
"ndwi_pred.coord_42",0.00159674394504744,0.00321638052878192,-0.00462769719969997,-0.0035438727948245,-0.00264451188076077,-0.00129327939989129,822720,-342270
"ndwi_pred.coord_43",-0.298970591853619,-0.299508401787547,0.394228544651535,0.399123698728298,0.105522340377023,0.0983850855739881,775170,-276060
"ndwi_pred.coord_44",-0.309896350545535,-0.310830361090538,0.412977283389538,0.413929015363711,0.101889856322371,0.100289674967886,762120,-242160
"ndwi_pred.coord_45",-0.328986574394272,-0.330277910867559,0.439149354923236,0.441657052830444,0.110927977266688,0.108641158234945,694200,-266370
"ndwi_pred.coord_46",-0.292193543932896,-0.294140858801417,0.38282726443812,0.389141369799153,0.092286424056395,0.0927958142113436,763680,-245820
