Latitude,Longitude,ndvi,ndwi,hsi,data,colecao,MHTEMPMAX(media-harmonica-temperatura-maxima(C)),MHTEMPMIN(media-harmonica-temperatura-minima(C)),SUMCHUVA(soma-chuva(mm)),MHEVAPOTRANSPIRACAO(media-harmonica-soma-evapotranspiracao(mm))
-8.04030,-27.88200,0.284689009189606,-0.366310745477676,0.650999784469604,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.35650,-24.49200,0.302596300840378,-0.402248442173004,0.70484471321106,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.35950,-25.18500,0.291564702987671,-0.384443491697311,0.676008224487305,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.95790,-33.88800,0.273777931928635,-0.346788316965103,0.620566248893738,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.09970,-37.04400,0.0370058454573154,-0.0332719087600708,0.0702777504920959,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.22720,-34.22700,0.0028537297621369,0.0012593623250722,0.0015943674370646,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.75170,-27.60600,0.281646937131882,-0.361617207527161,0.643264174461365,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.62120,-24.21600,0.274372696876526,-0.350055187940598,0.624427914619446,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.94200,-26.63700,0.268211305141449,-0.335970371961594,0.60418164730072,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.63680,-24.58200,0.257536351680756,-0.322092205286026,0.579628586769104,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.18130,-31.82100,0.300278067588806,-0.397550225257874,0.69782829284668,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.36010,-30.28500,0.269153296947479,-0.345050811767578,0.614204108715057,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.35060,-21.71700,0.265406280755997,-0.334597229957581,0.600003480911255,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.47750,-33.24600,0.288032025098801,-0.374506741762161,0.662538766860962,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.92910,-25.94100,0.154965996742249,-0.1762425750494,0.33120858669281,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.36070,-26.70900,0.285899877548218,-0.3745256960392,0.660425543785095,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.05360,-23.31000,0.0349365323781967,-0.0315334238111973,0.0664699524641037,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.73830,-32.77800,0.281744033098221,-0.35305467247963,0.63479870557785,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.52220,-22.11900,0.290165036916733,-0.377955317497253,0.668120384216309,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.18950,-39.92700,0.226786941289902,-0.267681539058685,0.494468480348587,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.66770,-35.05800,0.303524047136307,-0.404722452163696,0.708246469497681,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.59950,-29.85300,0.274300247430801,-0.352115899324417,0.626416146755219,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.40700,-22.07700,0.260390430688858,-0.32801154255867,0.588401973247528,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.13130,-29.09700,0.258217245340347,-0.322132468223572,0.580349683761597,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.07660,-30.74700,0.273530900478363,-0.351257055997849,0.624787926673889,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.17740,-28.00500,0.243223085999489,-0.302584886550903,0.545807957649231,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.18580,-27.56400,0.281940668821335,-0.365550339221954,0.647490978240967,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.85250,-30.43800,0.112893730401993,-0.116883113980293,0.229776844382286,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.30140,-35.15100,0.268090099096298,-0.338893800973892,0.60698390007019,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.88920,-31.95900,0.288830369710922,-0.365631878376007,0.654462218284607,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.37150,-38.44500,0.274953007698059,-0.344469398260117,0.619422435760498,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.94700,-35.00400,0.308898270130157,-0.413870692253113,0.72276896238327,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.47720,-26.55300,0.0283245015889406,-0.0187660660594702,0.0470905676484108,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.94800,-29.29500,0.262039572000504,-0.32795125246048,0.589990854263306,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.20660,-39.77400,-0.0501003079116344,0.0344089306890965,-0.0845092386007309,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-6.96270,-27.45600,0.298544645309448,-0.38730987906456,0.685854554176331,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.03080,-40.14900,0.255038172006607,-0.313119649887085,0.56815779209137,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.81530,-27.50100,0.285641968250275,-0.370573192834854,0.656215190887451,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.27100,-24.37200,0.272260069847107,-0.347979187965393,0.6202392578125,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.07970,-22.24500,0.300456166267395,-0.39151868224144,0.691974878311157,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-8.19180,-25.32300,0.283569723367691,-0.366570085287094,0.650139808654785,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
-7.83960,-35.38200,0.202572092413902,-0.239825814962387,0.442397892475128,2014/08/23,LC08_L2SP_231062_20140823_20200911_02_T1,,,,
